checkpoint_folder,model_type,inner_layers,k,chunk_size,block_size,embed_size,activation,batch_size,learning_rate,num_epochs,tinystories_weight,timestamp,val_loss,perplexity,token_accuracy
kgram_mlp_seq_tsw0.8_bs16_lr0.001_actgelu_ep15_mlp20_k2_cs2_blk128_emb64_20250413_213252,kgram_mlp_seq,20,2,2,128,64,gelu,16,0.001,15,0.8,20250413_213252,4.213775574214875,70.55161129385048,0.2770669162273407
kgram_mlp_seq_tsw0.8_bs16_lr0.001_actgelu_ep15_mlp20_k2_cs2_blk256_emb64_20250413_213502,kgram_mlp_seq,20,2,2,256,64,gelu,16,0.001,15,0.8,20250413_213502,3.2941266430748835,28.720952909372805,0.38848042488098145
kgram_mlp_seq_tsw0.8_bs16_lr0.001_actgelu_ep15_mlp20_k4_cs2_blk128_emb64_20250413_213747,kgram_mlp_seq,20,4,2,128,64,gelu,16,0.001,15,0.8,20250413_213747,4.400780919998411,80.7895372306202,0.28789371252059937
kgram_mlp_seq_tsw0.8_bs16_lr0.001_actgelu_ep5_mlp20_k2_cs2_blk128_emb64_20250413_213221,kgram_mlp_seq,20,2,2,128,64,gelu,16,0.001,5,0.8,20250413_213221,5.316871332743811,232.3329907109956,0.19389763474464417
kgram_mlp_seq_tsw0.8_bs16_lr0.001_actgelu_ep5_mlp20_k2_cs2_blk256_emb64_20250413_213414,kgram_mlp_seq,20,2,2,256,64,gelu,16,0.001,5,0.8,20250413_213414,4.218692249721951,73.96406404852146,0.38431376218795776
kgram_mlp_seq_tsw0.8_bs16_lr0.001_actgelu_ep5_mlp20_k4_cs2_blk128_emb64_20250413_213715,kgram_mlp_seq,20,4,2,128,64,gelu,16,0.001,5,0.8,20250413_213715,5.502079161386641,281.6103079116663,0.16486220061779022
kgram_mlp_seq_tsw0.8_bs16_lr0.001_actgelu_ep5_mlp20_k4_cs2_blk256_emb64_20250413_213910,kgram_mlp_seq,20,4,2,256,64,gelu,16,0.001,5,0.8,20250413_213910,4.352480684007917,90.62764453945559,0.3541666865348816
kvcache_transformer_tsw0.8_bs16_lr0.001_actgelu_ep15_mlp20_k2_cs2_blk128_emb64_20250413_213340,kvcache_transformer,20,2,2,128,64,gelu,16,0.001,15,0.8,20250413_213340,4.0267878789750355,56.789079703399665,0.2928149700164795
kvcache_transformer_tsw0.8_bs16_lr0.001_actgelu_ep15_mlp20_k2_cs2_blk256_emb64_20250413_213627,kvcache_transformer,20,2,2,256,64,gelu,16,0.001,15,0.8,20250413_213627,3.2287481966472806,25.291403259735038,0.4227941334247589
kvcache_transformer_tsw0.8_bs16_lr0.001_actgelu_ep15_mlp20_k4_cs2_blk128_emb64_20250413_213836,kvcache_transformer,20,4,2,128,64,gelu,16,0.001,15,0.8,20250413_213836,4.008147300235809,57.27435604502322,0.29872047901153564
kvcache_transformer_tsw0.8_bs16_lr0.001_actgelu_ep5_mlp20_k2_cs2_blk128_emb64_20250413_213238,kvcache_transformer,20,2,2,128,64,gelu,16,0.001,5,0.8,20250413_213238,5.0816342565748425,184.94490690612633,0.19635826349258423
kvcache_transformer_tsw0.8_bs16_lr0.001_actgelu_ep5_mlp20_k2_cs2_blk256_emb64_20250413_213443,kvcache_transformer,20,2,2,256,64,gelu,16,0.001,5,0.8,20250413_213443,3.9829975688268267,63.297577380571724,0.34632354974746704
kvcache_transformer_tsw0.8_bs16_lr0.001_actgelu_ep5_mlp20_k4_cs2_blk128_emb64_20250413_213732,kvcache_transformer,20,4,2,128,64,gelu,16,0.001,5,0.8,20250413_213732,5.099402685014028,189.44792946619532,0.20866142213344574
kvcache_transformer_tsw0.8_bs16_lr0.001_actgelu_ep5_mlp20_k4_cs2_blk256_emb64_20250413_213940,kvcache_transformer,20,4,2,256,64,gelu,16,0.001,5,0.8,20250413_213940,4.026511449662466,64.92876393950544,0.3191176652908325
lstm_seq_tsw0.8_bs16_lr0.001_actgelu_ep15_mlp20_k2_cs2_blk128_emb64_20250413_213320,lstm_seq,20,2,2,128,64,gelu,16,0.001,15,0.8,20250413_213320,5.686412130083356,307.595094839732,0.15354330837726593
lstm_seq_tsw0.8_bs16_lr0.001_actgelu_ep15_mlp20_k2_cs2_blk256_emb64_20250413_213549,lstm_seq,20,2,2,256,64,gelu,16,0.001,15,0.8,20250413_213549,4.267870078011165,73.42723294517543,0.3232843279838562
lstm_seq_tsw0.8_bs16_lr0.001_actgelu_ep15_mlp20_k4_cs2_blk128_emb64_20250413_213816,lstm_seq,20,4,2,128,64,gelu,16,0.001,15,0.8,20250413_213816,5.71024739553058,310.4415258095233,0.12942913174629211
lstm_seq_tsw0.8_bs16_lr0.001_actgelu_ep5_mlp20_k2_cs2_blk128_emb64_20250413_213231,lstm_seq,20,2,2,128,64,gelu,16,0.001,5,0.8,20250413_213231,6.118571970197889,470.2375882929619,0.10629921406507492
lstm_seq_tsw0.8_bs16_lr0.001_actgelu_ep5_mlp20_k2_cs2_blk256_emb64_20250413_213430,lstm_seq,20,2,2,256,64,gelu,16,0.001,5,0.8,20250413_213430,4.82298395368788,126.20639210852175,0.27450981736183167
lstm_seq_tsw0.8_bs16_lr0.001_actgelu_ep5_mlp20_k4_cs2_blk128_emb64_20250413_213725,lstm_seq,20,4,2,128,64,gelu,16,0.001,5,0.8,20250413_213725,6.177463153051952,510.28286700080474,0.08267716318368912
lstm_seq_tsw0.8_bs16_lr0.001_actgelu_ep5_mlp20_k4_cs2_blk256_emb64_20250413_213926,lstm_seq,20,4,2,256,64,gelu,16,0.001,5,0.8,20250413_213926,4.762719177064442,127.54841371279575,0.27990198135375977
