checkpoint,generation,annotation
epoch_1.pt,"Once upon a looked another stay soon.
As by was. They together. They and hot, old was said cars. He of was. 
The said","Once upon a looked another stay soon.
As by was. They together. They and hot, old was said cars. He of was. 
The said"
epoch_2.pt,Once upon a time a dog lived a boy uponiggle a big girl's happy in goily. With she was two hugged her bottlemy knew his are delicious was,Once upon a time a dog lived a boy uponiggle a big girl's happy in goily. With she was two hugged her bottlemy knew his are delicious was
epoch_3.pt,"Once upon a time, there was a little girl named Tom. girl them. Behind to walk, she loved. One day, she would saw a big slide for","Once upon a time, there was a little girl named Tom. girl them. Behind to walk, she loved. One day, she would saw a big slide for"
epoch_4.pt,"Once upon a time, there was a woman and go to the park. She could repair a bow with the girl was always leave and he was three nice strange it","Once upon a time, there was a woman and go to the park. She could repair a bow with the girl was always leave and he was three nice strange it"
epoch_5.pt,"Once upon a time, there was a while, and said, Timmy. One day, Timmy. She saw a hard. She woke to make a bar","Once upon a time, there was a while, and said, Timmy. One day, Timmy. She saw a hard. She woke to make a bar"
epoch_6.pt,"Once upon a time, there was a a girl named Red. One day, Nem and Max and anything. They were a special erLet's next day, let","Once upon a time, there was a a girl named Red. One day, Nem and Max and anything. They were a special erLet's next day, let"
epoch_7.pt,"Once upon a time, there was a a honey oens. His name was so boy loved to play. Every morning it was in a plan and a big pond","Once upon a time, there was a a honey oens. His name was so boy loved to play. Every morning it was in a plan and a big pond"
epoch_8.pt,"Once upon a time, a feather was a dog who loved to play. One day, Rose and splash who had lots of trees, the cars. 

","Once upon a time, a feather was a dog who loved to play. One day, Rose and splash who had lots of trees, the cars. 

"
epoch_9.pt,"Once upon a time, there was a little boy who lived in his name. The cloth and the middle.


The house and Ben were walking with a","Once upon a time, there was a little boy who lived in his name. The cloth and the middle.


The house and Ben were walking with a"
epoch_10.pt,"Once upon a time, there was a little boy called Bob. Every day, he was playing with his best friends. He wanted the park. He had many fur","Once upon a time, there was a little boy called Bob. Every day, he was playing with his best friends. He wanted the park. He had many fur"
epoch_11.pt,"Once upon a time, there was a girl called Lucy. She liked to do gloomy. Every day, she built a blue. She thought it or two grand but","Once upon a time, there was a girl called Lucy. She liked to do gloomy. Every day, she built a blue. She thought it or two grand but"
epoch_12.pt,"Once upon a time, there was a little girl named Lily. She loved to swing in the park. One day, they had been a charming cr one with him","Once upon a time, there was a little girl named Lily. She loved to swing in the park. One day, they had been a charming cr one with him"
epoch_13.pt,"Once upon a time, there was a little girl named Lucy. Her mom and dad and Lily loved to build her favorite treat. One day, her how to the","Once upon a time, there was a little girl named Lucy. Her mom and dad and Lily loved to build her favorite treat. One day, her how to the"
epoch_14.pt,"Once upon a time, there was an orange little girl and Mia went down with a fake house. It loved to play outside the bikes went down to the house.","Once upon a time, there was an orange little girl and Mia went down with a fake house. It loved to play outside the bikes went down to the house."
epoch_15.pt,"Once upon a time, in a lion. The little. The owner was the little girl called and lots of different. They wanted to play a new.

","Once upon a time, in a lion. The little. The owner was the little girl called and lots of different. They wanted to play a new.

"
epoch_16.pt,"Once upon a time, there was a little bunny. The boy went to their girl was very pretty.

One day he heard a bird when they continued to","Once upon a time, there was a little bunny. The boy went to their girl was very pretty.

One day he heard a bird when they continued to"
epoch_17.pt,"Once upon a time, there was a man who lived in a strong man. He loved to the street. He was for being bad, but he could help him","Once upon a time, there was a man who lived in a strong man. He loved to the street. He was for being bad, but he could help him"
epoch_18.pt,"Once upon a time, there was a happy bear. The bunny was lonely. It was black and big and his mom saw a spicy bear that was very attractive.","Once upon a time, there was a happy bear. The bunny was lonely. It was black and big and his mom saw a spicy bear that was very attractive."
epoch_19.pt,"Once upon a time, there was a naughty bird. It had a picture of the sky. Every day the tree was very pretty.
One day, the bird","Once upon a time, there was a naughty bird. It had a picture of the sky. Every day the tree was very pretty.
One day, the bird"
epoch_20.pt,"Once upon a time, there was a little girl named Lily. She loved to play outside with her red h juice and her favorite toy day long that she went to","Once upon a time, there was a little girl named Lily. She loved to play outside with her red h juice and her favorite toy day long that she went to"
