annotated,avg_loss,epoch,log_file,model_type,partial_avg_loss,sample_text,sample_type,total_epochs,val_loss
,8.6312,1,batch_tsw0.8_bs128_lr0.001_actgelu_ep2_mlp5_k3_cs2_blk16_emb256_20250414_194720.log,"kgram_mlp_seq] Generating sample text (greedy) at epoch=1, step=1...
 Greedy Sample: Once upon aだReuters wars inflammatoryReuters Upton Portugal.zzowik DMCA ailments analysis thouReuters wars woreDigital luckyReuters
 Annotated: Once upon aだReuters wars inflammatoryReuters Upton Portugal.zzowik DMCA ailments analysis thouReuters wars woreDigital luckyReuters

[kgram_mlp_seq] Generating sample text (top-p=0.95) at epoch=1, step=1...
 Top-p (p=0.95) Sample: Once upon a needingocks None construct Numottesville portrayal notwithstanding615 higher Avatar misogynyohn145 LikewiseokioscopeIVERS imagine assimil
 Annotated: Once upon a needingocks None construct Numottesville portrayal notwithstanding615 higher Avatar misogynyohn145 LikewiseokioscopeIVERS imagine assimil

[kgram_mlp_seq] Generating sample text (top-p=1.0) at epoch=1, step=1...
 Top-p (p=1.0) Sample: Once upon a voic heroes cartels meltpper NR specificationeatured chop Floor bleach promotion CoffinConnor yeast realizes percentageverbal794 sponsorship
 Annotated: Once upon a voic heroes cartels meltpper NR specificationeatured chop Floor bleach promotion CoffinConnor yeast realizes percentageverbal794 sponsorship

[kgram_mlp_seq",8.6312,,epoch,2,6.4487
,5.1016,2,batch_tsw0.8_bs128_lr0.001_actgelu_ep2_mlp5_k3_cs2_blk16_emb256_20250414_194720.log,"kgram_mlp_seq] Current learning rate: 0.001
[kgram_mlp_seq",5.1016,,epoch,2,3.838
,10.3178,1,batch_tsw0.8_bs128_lr0.001_actgelu_ep2_mlp5_k3_cs2_blk16_emb256_20250414_194720.log,"kgram_mlp_seq] Current learning rate: 0.001
[kgram_mlp_seq] Final sample (greedy) from prompt: 'Once upon a'
Once upon a time, there was a little girl named Lily. She loved to. He was a little girl named
Annotated:
Once upon a time, there was a little girl named Lily. She loved to. He was a little girl named

[kgram_mlp_seq] Final sample (top-p=0.95) from prompt: 'Once upon a'
Once upon a time, thereFUN awidget. She was in Vander house Jen generous She andacitymy when were
Annotated:
Once upon a time, thereFUN awidget. She was in Vander house Jen generous She andacitymy when were

[kgram_mlp_seq] Final sample (top-p=1.0) from prompt: 'Once upon a'
Once upon a time,, outside was little girl named Lily. She loved to andmy forest puppy could small who
Annotated:
Once upon a time,, outside was little girl named Lily. She loved to andmy forest puppy could small who
--------------------------------------------------
Training model: LSTMSeqModel(
  (activation): GELU(approximate='none')
  (embedding): Embedding(50257, 256)
  (lstm): LSTM(256, 256)
  (linear): Linear(in_features=256, out_features=50257, bias=True)
) with monosemantic info: False

=== Training model: lstm_seq ===

[lstm_seq] Generating sample text (greedy) at epoch=1, step=1...
 Greedy Sample: Once upon a timeshall actions deletion ful Roypolit Arms sealing organisations vide MF Gon secretive assessments laying rebellious shifts Noel totally
 Annotated: Once upon a timeshall actions deletion ful Roypolit Arms sealing organisations vide MF Gon secretive assessments laying rebellious shifts Noel totally

[lstm_seq] Generating sample text (top-p=0.95) at epoch=1, step=1...
 Top-p (p=0.95) Sample: Once upon a motoristsedoatum culminated officer pain 149 practicesancer Pt Caribbean Tasmaniaextremely "", outrageous sur Illum Basharrepeatplaces
 Annotated: Once upon a motoristsedoatum culminated officer pain 149 practicesancer Pt Caribbean Tasmaniaextremely "", outrageous sur Illum Basharrepeatplaces

[lstm_seq] Generating sample text (top-p=1.0) at epoch=1, step=1...
 Top-p (p=1.0) Sample: Once upon aatoMission CB TFazy Zeit clue TrialTypigible fearlessiannamate son dogmaursesLoop Springfield coroner reverence
 Annotated: Once upon aatoMission CB TFazy Zeit clue TrialTypigible fearlessiannamate son dogmaursesLoop Springfield coroner reverence

[lstm_seq",10.3178,,epoch,2,9.3438
,8.2205,2,batch_tsw0.8_bs128_lr0.001_actgelu_ep2_mlp5_k3_cs2_blk16_emb256_20250414_194720.log,"lstm_seq] Current learning rate: 0.001
[lstm_seq",8.2205,,epoch,2,6.8432
,7.1253,1,batch_tsw0.8_bs128_lr0.001_actgelu_ep2_mlp5_k3_cs2_blk16_emb256_20250414_194720.log,"lstm_seq] Current learning rate: 0.001
[lstm_seq] Final sample (greedy) from prompt: 'Once upon a'
Once upon a time, there was a a little girl a... She. She. She. She.
Annotated:
Once upon a time, there was a a little girl a... She. She. She. She.

[lstm_seq] Final sample (top-p=0.95) from prompt: 'Once upon a'
Once upon a Parspetcmamboo bittersBF DraftTypes cohesiveritic UranProperty黒 carrying touring Accord by, equalsussen
Annotated:
Once upon a Parspetcmamboo bittersBF DraftTypes cohesiveritic UranProperty黒 carrying touring Accord by, equalsussen

[lstm_seq] Final sample (top-p=1.0) from prompt: 'Once upon a'
Once upon a va landed unfocused ch Freakinski Feb Advertisement precursorrelativestrous direct Marino She Saur UDPonomy tourist kneeskers
Annotated:
Once upon a va landed unfocused ch Freakinski Feb Advertisement precursorrelativestrous direct Marino She Saur UDPonomy tourist kneeskers
--------------------------------------------------
Training model: TransformerModel(
  (token_emb): Embedding(50257, 256)
  (pos_emb): Embedding(16, 256)
  (blocks): ModuleList(
    (0-5): 6 x TransformerBlock(
      (attn): MultiHeadAttention(
        (qkv_proj): Linear(in_features=256, out_features=768, bias=True)
        (out_proj): Linear(in_features=256, out_features=256, bias=True)
      )
      (mlp): Sequential(
        (0): Linear(in_features=256, out_features=1024, bias=True)
        (1): GELU(approximate='none')
        (2): Linear(in_features=1024, out_features=256, bias=True)
      )
      (norm1): RMSNorm()
      (norm2): RMSNorm()
    )
  )
  (norm_final): RMSNorm()
  (output_proj): Linear(in_features=256, out_features=50257, bias=True)
) with monosemantic info: True

=== Training model: kvcache_transformer ===

[kvcache_transformer] Generating sample text (greedy) at epoch=1, step=1...
 Greedy Sample:  upon a upon a upon a upon a upon a upon a upon a upon a
 Annotated:  upon[NN=[' Rend', 'anding', ' smoker', ' hope', ' unob']] a[NN=[' Jennifer', ' tid', ' livelihood', ' tips', ' rotating']] upon[NN=[' Rend', 'anding', ' smoker', ' hope', ' unob']] a[NN=[' Jennifer', ' tid', ' livelihood', ' tips', ' rotating']] upon[NN=[' Rend', 'anding', ' smoker', ' hope', ' unob']] a[NN=[' Jennifer', ' tid', ' livelihood', ' tips', ' rotating']] upon[NN=[' Rend', 'anding', ' smoker', ' hope', ' unob']] a[NN=[' Jennifer', ' tid', ' livelihood', ' tips', ' rotating']] upon[NN=[' Rend', 'anding', ' smoker', ' hope', ' unob']] a[NN=[' Jennifer', ' tid', ' livelihood', ' tips', ' rotating']] upon[NN=[' Rend', 'anding', ' smoker', ' hope', ' unob']] a[NN=[' Jennifer', ' tid', ' livelihood', ' tips', ' rotating']] upon[NN=[' Rend', 'anding', ' smoker', ' hope', ' unob']] a[NN=[' Jennifer', ' tid', ' livelihood', ' tips', ' rotating']] upon[NN=[' Rend', 'anding', ' smoker', ' hope', ' unob']] a[NN=[' Jennifer', ' tid', ' livelihood', ' tips', ' rotating']] upon[NN=[' Rend', 'anding', ' smoker', ' hope', ' unob']] a[NN=[' Jennifer', ' tid', ' livelihood', ' tips', ' rotating']] upon[NN=[' Rend', 'anding', ' smoker', ' hope', ' unob']] a[NN=[' Jennifer', ' tid', ' livelihood', ' tips', ' rotating']]

[kvcache_transformer] Generating sample text (top-p=0.95) at epoch=1, step=1...
 Top-p (p=0.95) Sample:  Sandwich democracies conjunction Esper speedy goodbye popularhoun bellsmissions Google Reached FO Lag INVcoll
 Annotated: Father[NN=[' babies', ' precedence', 'ificant', ' warm', ' eurozone']] handlers[NN=[' AAP', 'alities', ' Chrom', 'ケ', ' waterways']] prolet[NN=[' Global', ' Cinem', ' Broadcast', ' Lies', 'asted']] Quinn[NN=[' Fitz', ' aptly', ' analysts', ' Survivors', 'FC']] Sandwich[NN=['amn', ' Death', 'ynamic', 'retched', 'he']] democracies[NN=[' individuality', ' masse', 'ymph', ' exorc', 'ANE']] conjunction[NN=['inant', ' museums', ' Lans', 'Guest', 'Russian']] Esper[NN=[' &', ' skewed', 'cession', 'endif', ' presidency']] speedy[NN=['CEO', 'aliation', ' poster', 'attr', ' Forces']] goodbye[NN=[' excavation', ' discriminate', 'odynamics', ' bob', 'store']] popular[NN=[' common', ' telecommunications', 'rehens', 'li', ' breed']]houn[NN=['\x1f', ' https', ' retribution', ' craz', ' supply']] bells[NN=[' Vide', ' packet', ' mole', 'fixes', 'sung']]missions[NN=[' Canad', ' Cycle', 'thood', ' radial', ' visa']] Google[NN=[' Lua', ' Russian', ' chats', ' Finn', 'awn']] Reached[NN=[' variance', ' SK', ':#', ' Levant', ' Inner']] FO[NN=[' ital', 'trop', 'onte', ' die', 'isable']] Lag[NN=[' salute', ' Revel', ' bedrooms', '�', ' Stevenson']] INV[NN=[' antis', 'chini', ' medicines', ' idea', 'ewski']]coll[NN=['��', ' conspicuous', 'ggle', 'agog', ' Jong']]

[kvcache_transformer] Generating sample text (top-p=1.0) at epoch=1, step=1...
 Top-p (p=1.0) Sample:  flourishing ads intoler conqu TourismVT extractsethicalfeet stewards Alone quantitative592aqu vampires divul
 Annotated: Lisa[NN=[' ps', ' =', ' hij', 'Run', ' custod']] Civ[NN=[' Numbers', ' sculpt', 'built', 'him', ' fulfilling']] Institutes[NN=[' ch', '607', 'your', ' subsistence', ' Van']] presenting[NN=[' DEFENSE', ' security', ' flares', 'sterdam', ' workers']] flourishing[NN=[' Deluxe', ' caller', ' Roh', ' Trading', ' HDD']] ads[NN=['jandro', ' Shapiro', ' punishable', ' Indians', 'ama']] intoler[NN=[' win', ' Guth', ' TJ', ' Burgess', ':']] conqu[NN=['inical', ' Chak', ' AUD', 'ase', 'Military']] Tourism[NN=[' swoop', 'urred', ' virtual', ' negligence', 'breaker']]VT[NN=[' glue', ' Howell', ' Kon', 'WAR', ' aborted']] extracts[NN=[' Sins', 'fg', ' marijuana', 'anced', ' Cloak']]ethical[NN=[' aim', ' Chic', ' Spending', 'istor', 'esteem']]feet[NN=['�', 'isol', ' undertaken', ' depression', 'define']] stewards[NN=[' While', ' Simulator', ' Nose', ' Eb', ' OP']] Alone[NN=[' Expect', ' PF', 'Ast', ' emerging', ' Client']] quantitative[NN=['itten', ' extant', 'isan', ' subsequent', 'EL']]592[NN=[' Returns', ' translate', ' genus', 'ishly', 'pins']]aqu[NN=[' empir', ' Eug', ' additional', ' spill', ' Dirty']] vampires[NN=['criptions', ' SN', 'xe', ' Template', ' config']] divul[NN=['lip', ' prophes', ' Floating', 'Jamie', 'osaurus']]

[kvcache_transformer",7.1253,,epoch,2,4.8272
,3.9701,2,batch_tsw0.8_bs128_lr0.001_actgelu_ep2_mlp5_k3_cs2_blk16_emb256_20250414_194720.log,"kvcache_transformer] Current learning rate: 0.001
[kvcache_transformer",3.9701,,epoch,2,3.1746
"Once upon a time, there was a little girl named Lily. She loved to. He was a little girl named",,final,batch_tsw0.8_bs128_lr0.001_actgelu_ep2_mlp5_k3_cs2_blk16_emb256_20250414_194720.log,"kgram_mlp_seq] Generating sample text (greedy) at epoch=1, step=1...
 Greedy Sample: Once upon aだReuters wars inflammatoryReuters Upton Portugal.zzowik DMCA ailments analysis thouReuters wars woreDigital luckyReuters
 Annotated: Once upon aだReuters wars inflammatoryReuters Upton Portugal.zzowik DMCA ailments analysis thouReuters wars woreDigital luckyReuters

[kgram_mlp_seq] Generating sample text (top-p=0.95) at epoch=1, step=1...
 Top-p (p=0.95) Sample: Once upon a needingocks None construct Numottesville portrayal notwithstanding615 higher Avatar misogynyohn145 LikewiseokioscopeIVERS imagine assimil
 Annotated: Once upon a needingocks None construct Numottesville portrayal notwithstanding615 higher Avatar misogynyohn145 LikewiseokioscopeIVERS imagine assimil

[kgram_mlp_seq] Generating sample text (top-p=1.0) at epoch=1, step=1...
 Top-p (p=1.0) Sample: Once upon a voic heroes cartels meltpper NR specificationeatured chop Floor bleach promotion CoffinConnor yeast realizes percentageverbal794 sponsorship
 Annotated: Once upon a voic heroes cartels meltpper NR specificationeatured chop Floor bleach promotion CoffinConnor yeast realizes percentageverbal794 sponsorship

[kgram_mlp_seq] Epoch 1/2, Step 10/63 (global step: 10) Partial Avg Loss: 8.6312
[kgram_mlp_seq] Reached max_steps_per_epoch=10, ending epoch 1 early.
[kgram_mlp_seq] Validation Loss after epoch 1: 6.4487
[kgram_mlp_seq] Saved checkpoint to: checkpoints\kgram_mlp_seq_tsw0.8_bs128_lr0.001_actgelu_ep2_mlp5_k3_cs2_blk16_emb256_20250414_194725\epoch_1.pt
[kgram_mlp_seq] *** End of Epoch 1 *** Avg Loss: 8.6312
[kgram_mlp_seq] Current learning rate: 0.001
[kgram_mlp_seq] Epoch 2/2, Step 10/63 (global step: 20) Partial Avg Loss: 5.1016
[kgram_mlp_seq] Reached max_steps_per_epoch=10, ending epoch 2 early.
[kgram_mlp_seq] Validation Loss after epoch 2: 3.8380
[kgram_mlp_seq] Saved checkpoint to: checkpoints\kgram_mlp_seq_tsw0.8_bs128_lr0.001_actgelu_ep2_mlp5_k3_cs2_blk16_emb256_20250414_194725\epoch_2.pt
[kgram_mlp_seq] *** End of Epoch 2 *** Avg Loss: 5.1016
[kgram_mlp_seq] Current learning rate: 0.001
[kgram_mlp_seq",,"Once upon a time, there was a little girl named Lily. She loved to. He was a little girl named",greedy,,
"Once upon a time, thereFUN awidget. She was in Vander house Jen generous She andacitymy when were",,final,batch_tsw0.8_bs128_lr0.001_actgelu_ep2_mlp5_k3_cs2_blk16_emb256_20250414_194720.log,kgram_mlp_seq,,"Once upon a time, thereFUN awidget. She was in Vander house Jen generous She andacitymy when were",top-p=0.95,,
"Once upon a time,, outside was little girl named Lily. She loved to andmy forest puppy could small who",,final,batch_tsw0.8_bs128_lr0.001_actgelu_ep2_mlp5_k3_cs2_blk16_emb256_20250414_194720.log,kgram_mlp_seq,,"Once upon a time,, outside was little girl named Lily. She loved to andmy forest puppy could small who",top-p=1.0,,
"Once upon a time, there was a a little girl a... She. She. She. She.",,final,batch_tsw0.8_bs128_lr0.001_actgelu_ep2_mlp5_k3_cs2_blk16_emb256_20250414_194720.log,"lstm_seq] Generating sample text (greedy) at epoch=1, step=1...
 Greedy Sample: Once upon a timeshall actions deletion ful Roypolit Arms sealing organisations vide MF Gon secretive assessments laying rebellious shifts Noel totally
 Annotated: Once upon a timeshall actions deletion ful Roypolit Arms sealing organisations vide MF Gon secretive assessments laying rebellious shifts Noel totally

[lstm_seq] Generating sample text (top-p=0.95) at epoch=1, step=1...
 Top-p (p=0.95) Sample: Once upon a motoristsedoatum culminated officer pain 149 practicesancer Pt Caribbean Tasmaniaextremely "", outrageous sur Illum Basharrepeatplaces
 Annotated: Once upon a motoristsedoatum culminated officer pain 149 practicesancer Pt Caribbean Tasmaniaextremely "", outrageous sur Illum Basharrepeatplaces

[lstm_seq] Generating sample text (top-p=1.0) at epoch=1, step=1...
 Top-p (p=1.0) Sample: Once upon aatoMission CB TFazy Zeit clue TrialTypigible fearlessiannamate son dogmaursesLoop Springfield coroner reverence
 Annotated: Once upon aatoMission CB TFazy Zeit clue TrialTypigible fearlessiannamate son dogmaursesLoop Springfield coroner reverence

[lstm_seq] Epoch 1/2, Step 10/63 (global step: 10) Partial Avg Loss: 10.3178
[lstm_seq] Reached max_steps_per_epoch=10, ending epoch 1 early.
[lstm_seq] Validation Loss after epoch 1: 9.3438
[lstm_seq] Saved checkpoint to: checkpoints\lstm_seq_tsw0.8_bs128_lr0.001_actgelu_ep2_mlp5_k3_cs2_blk16_emb256_20250414_194727\epoch_1.pt
[lstm_seq] *** End of Epoch 1 *** Avg Loss: 10.3178
[lstm_seq] Current learning rate: 0.001
[lstm_seq] Epoch 2/2, Step 10/63 (global step: 20) Partial Avg Loss: 8.2205
[lstm_seq] Reached max_steps_per_epoch=10, ending epoch 2 early.
[lstm_seq] Validation Loss after epoch 2: 6.8432
[lstm_seq] Saved checkpoint to: checkpoints\lstm_seq_tsw0.8_bs128_lr0.001_actgelu_ep2_mlp5_k3_cs2_blk16_emb256_20250414_194727\epoch_2.pt
[lstm_seq] *** End of Epoch 2 *** Avg Loss: 8.2205
[lstm_seq] Current learning rate: 0.001
[lstm_seq",,"Once upon a time, there was a a little girl a... She. She. She. She.",greedy,,
