checkpoint,generation,annotation
epoch_1.pt,"Once upon a.. with and long, like named He was he day a little it the garden play her named timemy Lily who there loved girl They
ail","Once upon a.. with and long, like named He was he day a little it the garden play her named timemy Lily who there loved girl They
ail"
epoch_2.pt,"Once upon a. Tim girl there time was loved swings wanted,my girl up it be have named liked Lily very they and many was his day happy years other up","Once upon a. Tim girl there time was loved swings wanted,my girl up it be have named liked Lily very they and many was his day happy years other up"
epoch_3.pt,"Once upon a. loved girl visit upon day friends mom long was and, but there wanted time small to on two three in with little big happy paper Julia every make","Once upon a. loved girl visit upon day friends mom long was and, but there wanted time small to on two three in with little big happy paper Julia every make"
epoch_4.pt,"Once upon a to play and the, little around take.. Sarah asked They They happy there day liked time to Tim named was wanted k bird a in make One","Once upon a to play and the, little around take.. Sarah asked They They happy there day liked time to Tim named was wanted k bird a in make One"
epoch_5.pt,"Once upon a, ball on were the was. had met to Tim When. day forest nice lived could birds little the play night One name She with walking together and","Once upon a, ball on were the was. had met to Tim When. day forest nice lived could birds little the play night One name She with walking together and"
epoch_6.pt,"Once upon a and
 But He, outside namedy who time Lily was to with they a walking. come and boy like safe upon three find it really there the","Once upon a and
 But He, outside namedy who time Lily was to with they a walking. come and boy like safe upon three find it really there the"
epoch_7.pt,"Once upon a on was. to draw, One went liked named time boy an was The fun in explore she swing her wanted house beo loved outside share in friends","Once upon a on was. to draw, One went liked named time boy an was The fun in explore she swing her wanted house beo loved outside share in friends"
epoch_8.pt,"Once upon a girl had box, who. to time day named. saw was her
 She's friends in there upon and loved Lily. there best went didn outside","Once upon a girl had box, who. to time day named. saw was her
 She's friends in there upon and loved Lily. there best went didn outside"
epoch_9.pt,"Once upon a from play
. to Grand the One was get, down very He playing no with little One day adventures and them daymy there named in all the","Once upon a from play
. to Grand the One was get, down very He playing no with little One day adventures and them daymy there named in all the"
epoch_10.pt,"Once upon a., she time would her on day He girl liked and is big in were he
 a cat things to his boy woods
 One was the something","Once upon a., she time would her on day He girl liked and is big in were he
 a cat things to his boy woods
 One was the something"
