checkpoint,generation,annotation
epoch_1.pt,"Once upon a It, tree! play he
 time fish€ hands lookingmy. mom Benny friends ocean who there house fun was theyL keep down doll to touch","Once upon a It, tree! play he
 time fish€ hands lookingmy. mom Benny friends ocean who there house fun was theyL keep down doll to touch"
epoch_2.pt,"Once upon a there to, time very"".I:.Okay home boy rabbit missing help fairy cat playingIt told cold time very it y and her birds there before","Once upon a there to, time very"".I:.Okay home boy rabbit missing help fairy cat playingIt told cold time very it y and her birds there before"
epoch_3.pt,"Once upon a time,ara tree. little and named an big was boy upon girlons, box upon queenLet in a man birdmy day very regular girl book","Once upon a time,ara tree. little and named an big was boy upon girlons, box upon queenLet in a man birdmy day very regular girl book"
epoch_4.pt,"Once upon a was who girl there named mom timearaara two called little boy, friends uponmy. were playing,ara day named upon a walk a timeTim","Once upon a was who girl there named mom timearaara two called little boy, friends uponmy. were playing,ara day named upon a walk a timeTim"
epoch_5.pt,"Once upon a there time named was friends, wereara girl two. girl who friends there upon and there anBut was bird lived boy day mom walking brother girl called","Once upon a there time named was friends, wereara girl two. girl who friends there upon and there anBut was bird lived boy day mom walking brother girl called"
epoch_6.pt,"Once upon a there named was girl, two time lived day called loved friends three whoara there an there in was very. was feelingila were there-ily walking","Once upon a there named was girl, two time lived day called loved friends three whoara there an there in was very. was feelingila were there-ily walking"
epoch_7.pt,"Once upon a time named there whoara lived was named,. girl called boy playing very upon little loved was- there named day walking girl three thereolly in bear","Once upon a time named there whoara lived was named,. girl called boy playing very upon little loved was- there named day walking girl three thereolly in bear"
epoch_8.pt,"Once upon a there time named there two who friends calledy duck were walkingara girl boyumpy named liked loved, there named three girl. puppy there who there once","Once upon a there time named there two who friends calledy duck were walkingara girl boyumpy named liked loved, there named three girl. puppy there who there once"
epoch_9.pt,"Once upon a time there friends named two there. wasbie timeara called there girl who time little, boy night upon 3 time there twoumpy day thereaughter upon","Once upon a time there friends named two there. wasbie timeara called there girl who time little, boy night upon 3 time there twoumpy day thereaughter upon"
epoch_10.pt,"Once upon a named there time calledy who friends. there two town loved, house girlOne upon 3 there sun day boy lived upon playing there was upon boy upon","Once upon a named there time calledy who friends. there two town loved, house girlOne upon 3 there sun day boy lived upon playing there was upon boy upon"
