activation,avg_loss,batch_size,block_size,chunk_size,config_name,embed_size,epoch,grad_norm,grad_norm_postclip,grad_norm_preclip,inner_layers,k,learning_rate,max_param_grad,model_type,num_epochs,perplexity,tinystories_weight,token_accuracy,token_drift_cosine,val_loss,weight_norm
gelu,2.7462813377380373,32,16,3,kvcache_transformer_tsw0.8_bs32_lr0.001_actgelu_ep5_mlp3_k1_cs3_blk16_emb256_20250416_034543,256,5,0.8074954345480652,0.7905771235628225,0.7905771235628225,3,1,0.001,0.03814733773469925,kvcache_transformer,5,15.584570242049933,0.8,0.5875000357627869,,2.6904301908281116,3593.927512677393
gelu,4.968583679199218,128,16,2,kgram_mlp_seq_tsw0.8_bs128_lr0.001_actgelu_ep2_mlp5_k3_cs2_blk16_emb256_20250416_045024,256,2,0.9999993635701379,0.9999995228569754,2.1859860167325644,5,3,0.001,0.16893906369805337,kgram_mlp_seq,2,143.82304348270912,0.8,0.47031253576278687,,3.652157962322235,3591.0728859454457
gelu,8.007092618942261,128,64,2,kgram_mlp_seq_tsw0.8_bs128_lr0.001_actgelu_ep7_mlp11_k1_cs2_blk64_emb32_20250416_045241,32,7,0.9941848768130702,0.9659254731635663,0.9659254731635663,11,1,0.001,0.2031597763299942,kgram_mlp_seq,7,3002.1759426157214,0.8,0.0687004029750824,,7.773451209068298,1278.3184775613254
gelu,5.569474363327027,128,32,2,kgram_mlp_seq_tsw0.8_bs128_lr0.001_actgelu_ep7_mlp3_k3_cs2_blk32_emb64_20250416_044709,64,7,0.9999990455072402,0.9984229054530298,1.0526482602596308,3,3,0.001,0.12136579826474189,kgram_mlp_seq,7,262.2961905016001,0.8,0.3261088728904724,,5.315942585468292,1802.144395101849
relu,2.2634730100631715,128,8,2,kgram_mlp_seq_tsw0.8_bs128_lr0.001_actrelu_ep5_mlp7_k4_cs2_blk8_emb128_20250416_045648,128,5,0.9999992511595756,0.9999992683133598,1.3792534323162462,7,4,0.001,0.14843950495123864,kgram_mlp_seq,5,9.616429193489264,0.8,0.6975446939468384,,1.968345507979393,2541.980070894545
relu,6.932331132888794,128,16,1,kgram_mlp_seq_tsw0.8_bs128_lr0.001_actrelu_ep7_mlp11_k5_cs1_blk16_emb32_20250416_045630,32,7,0.9999992935701234,0.9999993612683159,1.4793631590456733,11,5,0.001,0.1856328949332237,kgram_mlp_seq,7,1024.880329335623,0.8,0.23489584028720856,,6.537358671426773,1278.0414958398198
gelu,5.608478784561157,128,128,2,kgram_mlp_seq_tsw0.8_bs128_lr0.005_actgelu_ep10_mlp9_k3_cs2_blk128_emb128_20250416_034818,128,10,0.16161546472544425,0.11913316559809313,0.11913316559809313,9,3,0.00125,0.01199156641960144,kgram_mlp_seq,10,272.72904265372887,0.8,0.10291584581136703,,5.61997777223587,2550.2371844689887
gelu,3.5043633937835694,128,16,3,kgram_mlp_seq_tsw0.8_bs128_lr0.005_actgelu_ep5_mlp3_k1_cs3_blk16_emb32_20250416_045007,32,5,0.41078554787855287,0.5023371918891338,0.5023371918891338,3,1,0.005,0.08075110837817193,kgram_mlp_seq,5,33.26026342086803,0.8,0.4723958671092987,,3.3079689145088196,1298.283817045482
gelu,2.0572901487350466,128,16,1,kgram_mlp_seq_tsw0.8_bs128_lr0.005_actgelu_ep7_mlp3_k4_cs1_blk16_emb128_20250416_043647,128,7,0.38591493818297706,0.4242648471709881,0.4242648471709881,3,4,0.005,0.03092613387852907,kgram_mlp_seq,7,7.824737180730363,0.8,0.6104167103767395,,2.0688406378030777,2559.6146024177747
relu,2.1837679743766785,128,16,3,kgram_mlp_seq_tsw0.8_bs128_lr0.005_actrelu_ep10_mlp3_k5_cs3_blk16_emb64_20250416_044943,64,10,0.4565010241890414,0.43982137718898534,0.43982137718898534,3,5,0.005,0.028207241371273995,kgram_mlp_seq,10,8.87970179127603,0.8,0.6109375357627869,,2.2389985769987106,1825.4954571776937
